Suburb,Location
Dandenong North,"Gladstone Road at the intersection of Gladstone Road and Heatherton Road, Dandenong North"
Doncaster,"Williamsons Road at the intersection of Williamsons Road and Doncaster Road, Doncaster"
Doncaster,"Victoria Street at the intersection of Victoria Street and Doncaster Road, Doncaster"
Doveton,"Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Doveton"
East Melbourne,"Lane 1, 2 and 3 Hoddle Street at the intersection of Hoddle Street and Victoria Parade, East Melbourne"
East Melbourne,"Lane 4 and 5, Hoddle Street at the intersection of Hoddle Street and Victoria Parade, East Melbourne"
East Melbourne,"Nicholson Street at the intersection of Nicholson Street and Victoria Parade, East Melbourne"
East Melbourne,"Nicholson Street at the intersection of Nicholson Street and Albert Street, East Melbourne"
East Melbourne,"Hoddle Street at the intersection of Hoddle Street and Wellington Parade, East Melbourne"
EastLink Donvale,"EastLink, Mullum Mullum Tunnel, approximately 600m prior to tunnel exit, Donvale"
EastLink Donvale,"EastLink, Melba Tunnel, approximately 500m prior to tunnel exit, Donvale"
EastLink Keysborough,"EastLink Southbound, Dandenong Bypass Bridge, Keysborough"
EastLink Keysborough,"EastLink Northbound, Dandenong Bypass Bridge, Keysborough"
EastLink Rowville,"EastLink Southbound, Wellington Road Bridge, Rowville"
EastLink Rowville,"EastLink Northbound, Wellington Road Bridge, Rowville"
Echuca,"Ogilvie Avenue at the intersection of Ogilvie Avenue and High Street, Echuca"
Endeavour Hills,"Heatherton Road at the intersection of Heatherton Road and Monash Freeway, Endeavour Hills"
Eumemmerring,"Princes Highway at the intersection of Princes Highway and South Gippsland Freeway, Eumemmerring"
Fairfield,"Heidelberg Road at the intersection of Heidelberg Road and Station Street, Fairfield"
Ferntree Gully,"Burwood Highway at the intersection of Burwood Highway and Brenock Park Drive, Ferntree Gully"
Fitzroy,"Alexandra Parade at the intersection of Alexandra Parade and Brunswick Street, Fitzroy"
Fitzroy North,"Alexandra Parade at the intersection of Alexandra Parade and Smith Street, Fitzroy North"
Fitzroy North,"Alexandra Parade at the intersection of Alexandra Parade and George Street, Fitzroy North"
Footscray,"Gordon Street at the intersection of Gordon Street and Barkly Street, Footscray"
Footscray,"Geelong Road at the intersection of Geelong Road and Droop Street, Footscray"
